45.125312	1.719562	49.296
46.212787	1.895712	48.434
46.742402	1.824359	47.169
46.22609	2.66353	        48.92
45.718828	3.016851	50.729
46.791084	3.226739	47.598
46.627216	2.479458	47.702
46.911398	2.059494	46.769
46.670488	2.904876	47.841
45.994206	1.972729	49.227
45.89728	3.215237	49.428
45.819795	2.162279	49.925
46.367026	2.477522	48.32
46.779044	2.295742	47.373
46.587253	3.497146	47.848
46.478502	1.748111	47.663
45.772114	1.841165	49.567
45.964542	3.483083	49.412
46.506918	2.235444	47.905
46.868088	3.862281	47.66
46.327725	3.027907	48.652
45.272008	1.636016	49.229
45.847808	2.895222	50.326
46.057619	3.012477	49.378
46.815386	2.652935	47.489
46.693095	4.142879	48.109
46.285616	2.214548	48.348
46.453096	2.77043	        48.203
46.417889	4.03459	        48.366
45.285822	2.658454	51.506
45.299616	3.382797	51.567
45.652258	2.735152	51.008
45.128271	3.147479	52.099
45.252581	2.081427	50.012
45.113719	2.866435	51.987
45.505473	3.137974	51.139
45.227632	4.138379	51.54
45.634019	2.03897	        50.084
45.807993	2.536955	50.186
45.432005	4.331513	50.861
46.644087	3.83947	        48.003
46.548394	3.136198	48.087
46.164746	3.609369	48.854
46.379821	3.400278	48.154
46.404748	3.699983	48.304
45.111943	2.500029	51.299
45.474376	2.160542	50.221
45.649521	2.34337	        50.411
46.403611	2.01464	        47.968
46.047425	2.391666	49.371
46.602377	2.001597	47.647
45.981974	4.06865	        49.542
45.668488	4.353142	50.408
45.747622	3.92919	        50.624
45.944737	3.798235	50.062
46.188993	3.941194	48.773
45.355949	3.961049	51.674
46.794258	3.597647	47.516
45.513008	3.527682	51.493
45.335701	3.039806	51.807
45.539049	3.788437	51.527
46.286526	4.299847	48.971
46.908269	4.207018	47.896
45.620112	1.647969	49.366
45.436359	2.534572	50.897
45.456116	1.881125	49.868
45.090937	2.119494	50.037
45.839767	4.289232	50.062
45.578443	4.066165	50.849
45.32614	3.699679	51.988
45.717684	3.581284	50.628
45.732724	3.337503	50.182
46.026288	2.692984	49.626
45.467529	2.83237	        51.627
45.140434	3.815468	51.932
